id_employee,age,genre,nombre_experiences_precedentes,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,revenu_mensuel_log,annee_experience_totale_log,annees_dans_l_entreprise_log,annees_dans_le_poste_actuel_log,annees_depuis_la_derniere_promotion_log,annes_sous_responsable_actuel_log,distance_domicile_travail_classe,ratio_anciennete_poste,ratio_anciennete_manager,ratio_experience_entreprise,mobilite_interne_potentielle,jamais_promu,retard_promotion_relatif,progression_salariale_faible,mediane_revenu_par_niveau,revenu_par_niveau,sous_remunere_niveau,mediane_revenu_par_poste,revenu_par_poste,evolution_evaluation,bonne_perf_peu_augmente,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,frequence_deplacement_Aucun,frequence_deplacement_Frequent,frequence_deplacement_Occasionnel,poste_regroupe_Assistant de Direction,poste_regroupe_Autre,poste_regroupe_Cadre Commercial,poste_regroupe_Consultant,poste_regroupe_Manager,poste_regroupe_Senior Manager,poste_regroupe_Tech Lead,domaine_etude_regroupe_Autre,domaine_etude_regroupe_Entrepreunariat,domaine_etude_regroupe_Infra & Cloud,domaine_etude_regroupe_Marketing,domaine_etude_regroupe_Transformation Digitale
1,41,0,8,2,3,2,4,1,1,3,1,0.11,1,0,0,1,2,8.69851424787661,2.1972245773362196,1.9459101490553132,1.6094379124341003,0.0,1.791759469228055,0,0.5714285714285714,0.7142857142857143,0.6666666666666666,2,1,0.0,1,5340.0,1.1222846441947565,0,6231.0,0.9618038838067726,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,49,1,1,3,2,2,2,4,3,4,0,0.23,0,1,3,8,1,8.543055850941965,2.3978952727983707,2.3978952727983707,2.0794415416798357,0.6931471805599453,2.0794415416798357,2,0.6363636363636364,0.6363636363636364,0.9090909090909091,3,0,0.09090909090909091,0,5340.0,0.9606741573033708,1,2887.5,1.7766233766233765,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,37,1,6,4,2,1,3,2,3,3,1,0.15,1,0,3,2,2,7.645397699428633,2.0794415416798357,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0,2670.0,0.7827715355805244,1,2886.0,0.7241857241857241,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,33,0,1,4,3,1,3,3,3,3,1,0.11,0,0,3,3,4,7.975908360165538,2.1972245773362196,2.1972245773362196,2.0794415416798357,1.3862943611198906,0.0,1,0.7777777777777778,0.0,0.8888888888888888,1,0,0.3333333333333333,1,2670.0,1.0895131086142322,0,2887.5,1.0074458874458874,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,27,1,9,1,3,1,2,4,3,3,0,0.12,0,1,3,2,1,8.15162164696975,1.9459101490553132,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0,0,0.6666666666666666,1,2670.0,1.2988764044943821,0,2886.0,1.2016632016632016,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,32,1,0,4,3,1,4,3,2,3,0,0.13,0,0,2,2,2,8.029107054619736,2.1972245773362196,2.0794415416798357,2.0794415416798357,1.3862943611198906,1.9459101490553132,0,0.875,0.75,0.7777777777777778,0,0,0.375,1,2670.0,1.149063670411985,0,2886.0,1.063063063063063,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,59,0,4,3,4,1,1,1,2,4,1,0.2,0,3,3,3,3,7.890208213109961,2.5649493574615367,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.07692307692307693,1,1,0.0,0,2670.0,1.0,0,2886.0,0.9251559251559252,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,30,1,1,4,3,1,3,2,3,4,0,0.22,0,1,2,24,1,7.898782356970309,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,4,0.0,0.0,0.5,1,1,0.0,0,2670.0,1.0086142322097378,0,2886.0,0.9331254331254332,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,38,1,0,4,2,3,3,2,3,4,0,0.21,0,0,2,23,3,9.161885151706779,2.3978952727983707,2.302585092994046,2.0794415416798357,0.6931471805599453,2.1972245773362196,4,0.7,0.8,0.8181818181818182,2,0,0.1,0,9980.0,0.9545090180360721,1,6447.0,1.4775864743291454,2,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,36,1,6,3,3,2,3,2,2,3,0,0.13,0,2,3,27,3,8.563695025067657,2.8903717578961645,2.0794415416798357,2.0794415416798357,2.0794415416798357,2.0794415416798357,4,0.875,0.875,0.3888888888888889,0,0,0.875,1,5340.0,0.9807116104868914,1,6811.0,0.7689032447511379,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,35,1,0,1,4,1,2,3,3,3,0,0.13,0,1,5,16,3,7.794411205726601,1.9459101490553132,1.791759469228055,1.6094379124341003,0.0,1.3862943611198906,3,0.6666666666666666,0.5,0.7142857142857143,1,1,0.0,1,2670.0,0.9086142322097378,1,2886.0,0.8406098406098406,-1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,29,0,0,4,2,2,3,4,3,3,1,0.12,0,0,3,15,2,8.341410211461865,2.3978952727983707,2.302585092994046,1.791759469228055,0.0,2.1972245773362196,3,0.5,0.8,0.8181818181818182,4,1,0.0,1,5340.0,0.7852059925093633,1,2886.0,1.452875952875953,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,31,1,1,1,3,1,3,4,2,3,0,0.17,0,1,1,26,1,7.976595409316577,1.791759469228055,1.791759469228055,1.0986122886681098,1.6094379124341003,1.3862943611198906,4,0.3333333333333333,0.5,0.8333333333333334,3,0,0.6666666666666666,0,2670.0,1.0902621722846442,0,2887.5,1.0081385281385282,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,34,1,0,2,3,1,4,3,3,3,0,0.11,0,1,2,19,2,7.8868329989550565,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,4,0.6666666666666666,0.6666666666666666,0.5,0,0,0.3333333333333333,1,2670.0,0.996629213483146,1,2886.0,0.922037422037422,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,28,1,5,3,2,1,3,2,3,3,1,0.14,1,0,4,24,3,7.615298339825815,1.9459101490553132,1.6094379124341003,1.0986122886681098,0.0,1.3862943611198906,4,0.4,0.6,0.5714285714285714,2,1,0.0,0,2670.0,0.7595505617977528,1,2886.0,0.7027027027027027,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,29,0,1,2,4,3,1,3,3,3,0,0.11,0,1,1,21,4,9.208438564686587,2.3978952727983707,2.3978952727983707,2.302585092994046,2.1972245773362196,2.1972245773362196,4,0.8181818181818182,0.7272727272727273,0.9090909090909091,1,0,0.7272727272727273,1,9980.0,1.0,0,6447.0,1.5480068248797891,-1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,32,1,0,1,4,1,2,4,2,3,1,0.12,0,2,5,5,2,8.101374671228582,2.0794415416798357,1.9459101490553132,1.0986122886681098,0.0,1.791759469228055,1,0.2857142857142857,0.7142857142857143,0.75,4,1,0.0,1,2670.0,1.2352059925093632,0,2887.5,1.1421645021645022,-1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,22,1,1,4,4,1,4,2,2,3,1,0.13,0,2,2,16,2,7.984803389734406,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,3,0.0,0.0,0.5,1,1,0.0,1,2670.0,1.099250936329588,0,2886.0,1.016978516978517,-1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,53,0,2,1,2,4,4,3,3,3,0,0.16,0,0,3,2,4,9.643939319328119,3.4657359027997265,3.258096538021482,2.1972245773362196,1.3862943611198906,2.0794415416798357,0,0.3076923076923077,0.2692307692307692,0.78125,17,0,0.11538461538461539,0,16154.0,0.9549956667079361,1,17454.5,0.8838408433355295,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,38,1,5,4,3,1,4,3,3,3,1,0.11,0,0,3,2,3,8.280204233279974,1.9459101490553132,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.5,0.5,0.42857142857142855,1,0,0.25,1,2670.0,1.4771535580524344,0,2887.5,1.365887445887446,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,24,0,0,1,4,2,3,4,2,3,0,0.18,0,1,5,11,2,8.297045149081827,1.791759469228055,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.3862943611198906,3,0.4,0.6,0.6666666666666666,2,0,0.2,0,5340.0,0.751123595505618,1,6447.0,0.6221498371335505,-1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,36,1,7,3,2,1,1,2,3,4,0,0.23,1,0,4,9,4,8.133880887949207,2.3978952727983707,1.791759469228055,1.3862943611198906,0.0,1.3862943611198906,2,0.5,0.5,0.45454545454545453,2,1,0.0,0,2670.0,1.2760299625468166,0,3737.0,0.9116938720899117,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
